Tid,Pris
2022-09-01 00:00:00,3.65
2022-09-01 00:05:00,3.646
2022-09-01 00:10:00,3.642
2022-09-01 00:15:00,3.638
2022-09-01 00:20:00,3.634
2022-09-01 00:25:00,3.63
2022-09-01 00:30:00,3.626
2022-09-01 00:35:00,3.622
2022-09-01 00:40:00,3.618
2022-09-01 00:45:00,3.614
2022-09-01 00:50:00,3.61
2022-09-01 00:55:00,3.606
2022-09-01 01:00:00,3.602
2022-09-01 01:05:00,3.604
2022-09-01 01:10:00,3.605
2022-09-01 01:15:00,3.606
2022-09-01 01:20:00,3.607
2022-09-01 01:25:00,3.608
2022-09-01 01:30:00,3.61
2022-09-01 01:35:00,3.611
2022-09-01 01:40:00,3.612
2022-09-01 01:45:00,3.613
2022-09-01 01:50:00,3.615
2022-09-01 01:55:00,3.616
2022-09-01 02:00:00,3.617
2022-09-01 02:05:00,3.613
2022-09-01 02:10:00,3.609
2022-09-01 02:15:00,3.605
2022-09-01 02:20:00,3.601
2022-09-01 02:25:00,3.598
2022-09-01 02:30:00,3.594
2022-09-01 02:35:00,3.59
2022-09-01 02:40:00,3.586
2022-09-01 02:45:00,3.582
2022-09-01 02:50:00,3.578
2022-09-01 02:55:00,3.574
2022-09-01 03:00:00,3.57
2022-09-01 03:05:00,3.579
2022-09-01 03:10:00,3.589
2022-09-01 03:15:00,3.598
2022-09-01 03:20:00,3.608
2022-09-01 03:25:00,3.617
2022-09-01 03:30:00,3.626
2022-09-01 03:35:00,3.636
2022-09-01 03:40:00,3.645
2022-09-01 03:45:00,3.655
2022-09-01 03:50:00,3.664
2022-09-01 03:55:00,3.673
2022-09-01 04:00:00,3.683
2022-09-01 04:05:00,3.706
2022-09-01 04:10:00,3.729
2022-09-01 04:15:00,3.753
2022-09-01 04:20:00,3.776
2022-09-01 04:25:00,3.799
2022-09-01 04:30:00,3.823
2022-09-01 04:35:00,3.846
2022-09-01 04:40:00,3.869
2022-09-01 04:45:00,3.893
2022-09-01 04:50:00,3.916
2022-09-01 04:55:00,3.939
2022-09-01 05:00:00,3.963
2022-09-01 05:05:00,4.032
2022-09-01 05:10:00,4.101
2022-09-01 05:15:00,4.171
2022-09-01 05:20:00,4.24
2022-09-01 05:25:00,4.309
2022-09-01 05:30:00,4.379
2022-09-01 05:35:00,4.448
2022-09-01 05:40:00,4.518
2022-09-01 05:45:00,4.587
2022-09-01 05:50:00,4.656
2022-09-01 05:55:00,4.726
2022-09-01 06:00:00,4.795
2022-09-01 06:05:00,4.81
