,Image,Manufacturer,Model,Chip,Operating Frequency,Transmit Power,Motion Range,Presence Range,Detection Angle,Operating Voltage,Current,Inteface,Pins Spacing,Size(WxH),Capabilities,Price(USD),ESPHome Support,Availability
1,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-dfrobot-c4001-sen0395-9m.jpg,DFRobot,SEN0395,,24GHz,12dBm,9m,6m,100×40°,3.6-5V,,,2.54mm,28x24mm,,,[Github](https://github.com/esphome/esphome-docs/blob/current/components/dfrobot_sen0395.rst),"[DFRobot](https://www.dfrobot.com/product-2282.html?tracking=7fGfMwM7A8N85IAAa3zpGsLAhPm9huZ0Mg1xHe6pA8trimhxgl6ND5XaMNYo5GbD), [Amazon](https://amzn.to/3xzZZfU)"
2,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-dfrobot-c4001-sen0609-25m.jpg,DFRobot,SEN0609,,24GHz,/,25m,16m,100×40°,3.3-5V,,,2.54mm,30x26mm,,,[Guide](https://smarthomescene.com/diy/diy-presence-sensor-with-25m-detection-range-using-dfrobot-c4001-and-esp32/),"[DFRobot](https://www.dfrobot.com/product-2793.html?tracking=7fGfMwM7A8N85IAAa3zpGsLAhPm9huZ0Mg1xHe6pA8trimhxgl6ND5XaMNYo5GbD), [Amazon](https://amzn.to/4ciw4YA)"
3,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-dfrobot-c4001-sen0610-12m.jpg,DFRobot,SEN0610,,24GHz,/,12m,8m,100×80°,3.3-5V,,,2.0mm,30x22mm,,,[Guide](https://smarthomescene.com/diy/diy-presence-sensor-with-25m-detection-range-using-dfrobot-c4001-and-esp32/),"[DFRobot](https://www.dfrobot.com/product-2795.html?tracking=7fGfMwM7A8N85IAAa3zpGsLAhPm9huZ0Mg1xHe6pA8trimhxgl6ND5XaMNYo5GbD), [Amazon](https://amzn.to/4elhPUI)"
4,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld012.jpg,Hi-Link,HLK-LD012,,5.8GHz,12dBm,8m,5m,/,2.7-4.8V,,,2.54mm,20x20mm,,,[Github](https://github.com/patrick3399/Hi-Link_mmWave_Radar_ESPHome/tree/main/LD012),"[AliExpress](https://s.click.aliexpress.com/e/_DCEr9wr), [Amazon](https://amzn.to/45BtwTk)"
5,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld016.jpg,Hi-Link,HLK-LD016,,5.8GHz,20dBm,10m,6m,/,4.5-5.5V,,,2.54mm,20x20mm,,,/,"[AliExpress](https://s.click.aliexpress.com/e/_DFY4Gi3), [Amazon](https://amzn.to/3zaiR5Q)"
6,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld017.jpg,Hi-Link,HLK-LD017,,5.8GHz,20dBm,10m,6m,/,3.3V,,,2.54mm,20x20mm,,,[Github](https://github.com/patrick3399/Hi-Link_mmWave_Radar_ESPHome/tree/main/LD017),[AliExpress](https://www.aliexpress.us/item/3256806308435215.html)
7,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld-101.jpg,Hi-Link,HLK-LD101,,10GHz,2dBm,7m,0.2m,/,3.3V~15V,,,/,25x20mm,,,/,"[AliExpress](https://s.click.aliexpress.com/e/_DEdB3z9), [Amazon](https://amzn.to/45vCIZi)"
8,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld112.jpg,Hi-Link,HLK-LD112,,24GHz,9dBm,10m,8m,57×24°,5V,,,2.54mm,20x23mm,,,[Github](https://github.com/patrick3399/Hi-Link_mmWave_Radar_ESPHome/tree/main/LD112),"[AliExpress](https://s.click.aliexpress.com/e/_DE21uLN), [Amazon](https://amzn.to/4caQDGE)"
9,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld1115H.jpg,Hi-Link,HLK-LD1115H,,24GHz,/,16m,4m,57×24°,3.6-5V,,,2.54mm,25x25mm,,,[Github](https://github.com/patrick3399/Hi-Link_mmWave_Radar_ESPHome/tree/main/LD1115H),"[AliExpress](https://s.click.aliexpress.com/e/_DB2uyGJ), [Amazon](https://amzn.to/4ctC2Wm)"
10,https://smarthomescene.com/wp-content/uploads/2024/04/mmwave-radar-modules-ld-1125h.jpg,Hi-Link,HLK-LD1125H,,24GHz,/,8m,4m,60×60°,3.3-5V,,,2.0mm,31x16mm,,,[Guide](https://smarthomescene.com/diy/diy-presence-sensor-with-hi-link-ld1125h-and-esp32-for-home-assistant/),"[AliExpress](https://s.click.aliexpress.com/e/_Dm2TIq7), [Amazon](https://amzn.to/4c516mU)"
11,https://smarthomescene.com/wp-content/uploads/2024/04/mmwave-radar-modules-ld-2410b.jpg,Hi-Link,HLK-LD2410,,24GHz,13dBm,8m,5m,60×60°,5-12V,,,1.27mm,35x7mm,,,[Guide](https://smarthomescene.com/diy/diy-presence-sensor-with-hi-link-ld2410-and-esp32-for-home-assistant/),"[AliExpress](https://s.click.aliexpress.com/e/_DCHxNAn), [Amazon](https://amzn.to/3zkbVmv)"
12,https://smarthomescene.com/wp-content/uploads/2024/04/mmwave-radar-modules-ld-2410b.jpg,Hi-Link,HLK-LD2410B,,24GHz,13dBm,8m,5m,60×60°,5-12V,,,1.27mm,35x7mm,,,[Guide](https://smarthomescene.com/diy/diy-presence-sensor-with-hi-link-ld2410-and-esp32-for-home-assistant/),"[AliExpress](https://s.click.aliexpress.com/e/_DkkmzhN), [Amazon](https://amzn.to/3VOagOV)"
13,https://smarthomescene.com/wp-content/uploads/2024/04/mmwave-radar-modules-ld-2410c.jpg,Hi-Link,HLK-LD2410C,S3KM1110,24GHz,13dBm,8m,5m,60×60°,5-12V,,,2.54mm,22x16mm,,,[Guide](https://smarthomescene.com/diy/diy-presence-sensor-with-hi-link-ld2410-and-esp32-for-home-assistant/),"[AliExpress](https://s.click.aliexpress.com/e/_DkkmzhN), [Amazon](https://amzn.to/3Xs4svX)"
14,https://smarthomescene.com/wp-content/uploads/2024/04/mmwave-radar-modules-ld-2410s.jpg,Hi-Link,HLK-LD2410S,,24GHz,10dBm,8m,5m,60×60°,3-3.6V,,,2.54mm,20x20mm,,,[Github](https://github.com/JackHuang021/ld2410s),"[AliExpress](https://s.click.aliexpress.com/e/_DCLXpc7), [Amazon](https://amzn.to/3KSTVm4)"
15,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld-2411.jpg,Hi-Link,HLK-LD2411,S3KM111L,24GHz,16dBm,2m,1m,20×40°,4.5-5.5V,,,1.27mm,28x28mm,,,[Github](https://github.com/Chreece/LD2411S-ESPHome),[AliExpress](https://s.click.aliexpress.com/e/_DcvNZvN)
16,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld-2411s.jpg,Hi-Link,HLK-LD2411S,S3KM111L,24GHz,16dBm,6m,3.5m,20×45°,4.5-5.5V,,,1.27mm,28x28mm,,,[Github](https://github.com/Chreece/LD2411S-ESPHome),"[AliExpress](https://s.click.aliexpress.com/e/_DCbuOND), [Amazon](https://amzn.to/4c34H4W)"
17,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld-2412.jpg,Hi-Link,HLK-LD2412,,24GHz,/,9m,6m,75×75°,3.3-5V,,,2.54mm,28x11mm,,,[Github](https://github.com/abaumhof/homeassistant_public/),[AliExpress](https://s.click.aliexpress.com/e/_DCayUMP)
18,https://smarthomescene.com/wp-content/uploads/2024/06/mmwave-radar-modules-ld-2415H.jpg,Hi-Link,HLK-LD2415H,,24GHz,20dBm,180m,180m,40×16°,9~24V,,,/,69x53mm,,,/,[AliExpress](https://s.click.aliexpress.com/e/_DBLTdvN)
